name,scenario,actors,preconditions,steps,result
Classify Feedback as Positive or Negative,Automated classification of customer feedback as positive or negative using machine learning integration.,['System'],Digital feedback is available for processing,1: System applies machine learning algorithms to analyze the content of the feedback 2: System categorizes the feedback as positive or negative based on predefined criteria 3: System stores the classified feedback for further actions,False
Upload Feedback to Social Media,Automated upload of classified feedback to the automobile service center's social media platforms.,['System'],Feedback has been classified as positive or negative,1: System identifies the positive feedback 2: System creates social media posts based on the positive feedback 3: System uploads the posts to the service center's social media accounts,False
Automated Email Follow-Up,Automated email sent to customers as a follow-up based on their feedback.,"['System', 'Customer']",Feedback has been processed and classified,1: System identifies customers with negative feedback 2: System triggers automated emails to customers with negative feedback 3: Email includes a message acknowledging the feedback and providing contact information for further assistance,False
Customer Service Executive Follow-Up,Customer service executive reaches out to customers with negative feedback in person.,"['Customer Service Executive', 'Customer']",Customers have received automated follow-up emails,1: Customer service executive is provided with the list of customers who gave negative feedback 2: Executive contacts the customers to address their concerns in person 3: Executive works on resolving the issues to improve customer satisfaction,True
Setup Screening process for Resumes/Profiles,Setup Automated screening of resumes and LinkedIn profiles to identify potential candidates for a job opening.,"['HR Manager', 'Machine Learning Model']",Availability of resumes and/or LinkedIn profiles for screening,"1: HR Manager initiates the screening process by providing job requirements and keywords. 2: Machine Learning Model processes the resumes/profiles and filters based on job requirements and other contributing factors. 3: The model performs trend analysis and considers candidate history (e.g., social presence, posts, paper presentations) to assess cultural fit.",False
Shortlist Candidates,Automated shortlisting of candidates based on the screening results for further evaluation.,"['HR Manager', 'Machine Learning Model']",Completed screening process with identified potential candidates,1: HR Manager reviews the shortlisted candidates from the screening results. 2: Machine Learning Model assists in identifying the candidates who are likely to be a good fit based on the job requirements and cultural fit assessment. 3: The model provides a ranked list of potential candidates for the next stage of the hiring process.,False
Automated Email Outreach,Automatic sending of emails to potential candidates to inquire about their interest in job opportunities.,"['HR Manager', 'Bot']",Shortlisted candidates identified from the screening process,1: Bot sends personalized emails to the shortlisted candidates to gauge their interest in job opportunities. 2: HR Manager monitors the responses and proceeds with further communication based on candidate responses.,False
Automated Interview Scheduling,Automated scheduling of interviews for the shortlisted candidates based on technical panel availability.,"['HR Manager', 'Bot', 'Technical Panel']",Shortlisted candidates available for interview,1: Bot schedules interviews for the shortlisted candidates based on the calendar availability of the technical panel members. 2: HR Manager oversees the interview scheduling process and makes necessary adjustments if required.,True
Verify Order Creation in EBS Application,Validate that the order is created in the EBS application and cross-verify the information with the finance data spreadsheet.,"['Tester', 'EBS Application']",Finance data and order creation data must be accessible and available for comparison.,1: Tester initiates the order creation process in the EBS application. 2: EBS Application processes the order creation request and generates the relevant order information. 3: Tester retrieves the finance data pertaining to the created order. 4: Tester compares the order information from the EBS application with the finance data spreadsheet. 5: The order information is validated for accuracy and correctness.,False
Perform Revenue Calculation,Automate revenue calculations for the order scenarios uploaded in the test suite.,"['UiPath', 'Test Suite']",Test suite must contain the relevant order scenarios and the required finance data for revenue calculation.,1: UiPath accesses the test suite and retrieves the order scenarios for revenue calculation. 2: UiPath performs automated calculations using the finance data for each scenario. 3: UiPath generates the calculated revenue for each scenario. 4: The calculated revenue is cross-verified for accuracy.,False
Validate Frontend to Backend Data,Automate the validation process to ensure consistency between frontend and backend data.,"['UiPath', 'Frontend', 'Backend']",Frontend and backend data must be accessible for comparison and validation.,1: UiPath retrieves frontend data from the UI components. 2: UiPath accesses and retrieves corresponding backend data. 3: UiPath compares the frontend data with the backend data to validate consistency. 4: Any inconsistencies or disparities are flagged for further investigation.,True
Trigger Attended Bot,User triggers the Attended Bot to initiate the extraction and validation process for background verification documents.,['User'],User has downloaded the documents from the internal application to the local folder.,1: User triggers the Attended Bot for the background verification process. 2: Bot fetches all the folders and documents from the specified local folder. 3: Bot segregates PDF and Excel documents separately for processing.,False
Process Excel Document,Bot processes the Excel document for extracting required education and employment information.,['Bot'],Bot has received an Excel document for processing.,1: Bot reads and extracts required education and employment information from the Excel document. 2: Bot stores the extracted information into a collection for data entry.,False
Process PDF Document,Bot processes the PDF document for extracting required education and employment details.,['Bot'],Bot has received a PDF document for processing.,1: Bot extracts required education and employment details from each PDF document. 2: Bot stores the extracted details into a collection for data entry.,False
Move Documents,Bot moves the processed documents to a specific completed folder.,['Bot'],Bot has extracted and processed the required information from the documents.,1: Bot moves the processed documents from the current folder to a designated completed folder.,False
Data Entry on Web Application,"Bot logs in to the web application, navigates to the required screen, and performs data entry.",['Bot'],Bot has the required information extracted and stored for data entry.,"1: Bot logs in to the web application. 2: Bot navigates to the designated screen for data entry. 3: Bot uploads education, employment, and personal documents and information into the required fields. 4: Bot submits the record if there are no errors on the screen.",False
Logout and Reporting,Bot logs out of the web application and captures the success/failure details into an excel file.,['Bot'],Bot has completed the data entry process on the web application.,1: Bot performs the logout step on the web application. 2: Bot captures all the success/failure details and exceptions into an excel file.,False
Send Final Report,Bot sends the final report with success and exception details for each candidate to a specific mail ID.,['Bot'],Bot has captured all the success/failure details and exceptions in an excel file.,1: Bot sends the final report via email to the specified mail ID.,True
User Input Data for Stroke Prediction,A user provides input data to the UiPath App for predicting the vulnerability to a brain stroke.,['User'],The UiPath App is installed and accessible to the user.,"1: User opens the UiPath App on their device. 2: User enters the required input data such as age, blood pressure, cholesterol level, exercise habits, and smoking status. 3: The UiPath App processes the input data using UiPath AI Centre. 4: The UiPath App predicts the vulnerability to a brain stroke based on the input data. 5: The prediction result is displayed to the user.",False
